jMRUI Data Textfile

Filename: lip_c.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.333E-2  
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 1E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
-1.9167E-1	-1.6987E-1	-1.6215E-8	1.1871E-2
-2.0457E-1	-1.4911E-1	-6.0898E-8	1.1891E-2
-2.1526E-1	-1.2747E-1	-8.6813E-8	1.1911E-2
-2.2369E-1	-1.0518E-1	-9.0306E-8	1.193E-2
-2.2983E-1	-8.2484E-2	-7.2655E-8	1.195E-2
-2.337E-1	-5.9608E-2	-3.9605E-8	1.197E-2
-2.3531E-1	-3.678E-2	5.6012E-10	1.199E-2
-2.3472E-1	-1.4217E-2	3.9741E-8	1.2009E-2
-2.3199E-1	7.8686E-3	7.2396E-8	1.2029E-2
-2.2722E-1	2.9279E-2	9.6494E-8	1.2049E-2
-2.2051E-1	4.9829E-2	1.1268E-7	1.2068E-2
-2.1198E-1	6.9346E-2	1.2236E-7	1.2088E-2
-2.0177E-1	8.7675E-2	1.2586E-7	1.2108E-2
-1.9004E-1	1.0468E-1	1.2193E-7	1.2127E-2
-1.7694E-1	1.2024E-1	1.0862E-7	1.2147E-2
-1.6264E-1	1.3425E-1	8.506E-8	1.2167E-2
-1.4732E-1	1.4663E-1	5.302E-8	1.2187E-2
-1.3116E-1	1.5732E-1	1.7309E-8	1.2206E-2
-1.1434E-1	1.6627E-1	-1.5185E-8	1.2226E-2
-9.7048E-2	1.7347E-1	-3.7431E-8	1.2246E-2
-7.9458E-2	1.789E-1	-4.4253E-8	1.2266E-2
-6.1748E-2	1.8259E-1	-3.3528E-8	1.2285E-2
-4.4089E-2	1.8455E-1	-6.2535E-9	1.2305E-2
-2.6644E-2	1.8484E-1	3.4258E-8	1.2325E-2
-9.5689E-3	1.8352E-1	8.3472E-8	1.2345E-2
6.9931E-3	1.8066E-1	1.3656E-7	1.2364E-2
2.2909E-2	1.7636E-1	1.8904E-7	1.2384E-2
3.8057E-2	1.7071E-1	2.3721E-7	1.2404E-2
5.2331E-2	1.6382E-1	2.7844E-7	1.2423E-2
6.5637E-2	1.558E-1	3.1123E-7	1.2443E-2
7.7895E-2	1.4678E-1	3.3495E-7	1.2463E-2
8.9041E-2	1.3689E-1	3.4919E-7	1.2483E-2
9.9023E-2	1.2625E-1	3.5308E-7	1.2502E-2
1.0781E-1	1.1499E-1	3.4493E-7	1.2522E-2
1.1537E-1	1.0324E-1	3.226E-7	1.2542E-2
1.217E-1	9.114E-2	2.8442E-7	1.2561E-2
1.268E-1	7.88E-2	2.3029E-7	1.2581E-2
1.307E-1	6.6345E-2	1.6246E-7	1.2601E-2
