jMRUI Data Textfile

Filename: mm3.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.333E-2  
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 1E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
7.6E-1	0E0	1.9159E-9	3.0221E-2
7.5045E-1	-1.2012E-1	1.8704E-8	3.0257E-2
7.2203E-1	-2.3722E-1	3.9753E-8	3.0294E-2
6.7545E-1	-3.4836E-1	6.3627E-8	3.0331E-2
6.119E-1	-4.5074E-1	8.8979E-8	3.0367E-2
5.3296E-1	-5.4178E-1	1.1468E-7	3.0404E-2
4.4063E-1	-6.192E-1	1.3991E-7	3.0441E-2
3.3722E-1	-6.8106E-1	1.6419E-7	3.0477E-2
2.2533E-1	-7.2578E-1	1.8735E-7	3.0514E-2
1.0778E-1	-7.5227E-1	2.0946E-7	3.0551E-2
-1.247E-2	-7.5983E-1	2.3074E-7	3.0587E-2
-1.3241E-1	-7.483E-1	2.5145E-7	3.0624E-2
-2.4901E-1	-7.1795E-1	2.7174E-7	3.0661E-2
-3.5935E-1	-6.6956E-1	2.9162E-7	3.0697E-2
-4.6065E-1	-6.0433E-1	3.1082E-7	3.0734E-2
-5.5036E-1	-5.2391E-1	3.2883E-7	3.077E-2
-6.2623E-1	-4.3033E-1	3.449E-7	3.0807E-2
-6.8636E-1	-3.2593E-1	3.5811E-7	3.0844E-2
-7.2923E-1	-2.1335E-1	3.6746E-7	3.088E-2
-7.5376E-1	-9.5403E-2	3.7202E-7	3.0917E-2
-7.5934E-1	2.493E-2	3.7105E-7	3.0954E-2
-7.4582E-1	1.4463E-1	3.641E-7	3.099E-2
-7.1356E-1	2.6068E-1	3.5114E-7	3.1027E-2
-6.6337E-1	3.7017E-1	3.3255E-7	3.1064E-2
-5.965E-1	4.7035E-1	3.0915E-7	3.11E-2
-5.1464E-1	5.587E-1	2.8211E-7	3.1137E-2
-4.1985E-1	6.3299E-1	2.5284E-7	3.1173E-2
-3.1451E-1	6.9136E-1	2.228E-7	3.121E-2
-2.0127E-1	7.3234E-1	1.934E-7	3.1247E-2
-8.2988E-2	7.5492E-1	1.6575E-7	3.1283E-2
3.7371E-2	7.5851E-1	1.4059E-7	3.132E-2
1.5678E-1	7.4303E-1	1.1817E-7	3.1357E-2
2.7223E-1	7.0887E-1	9.8237E-8	3.1393E-2
3.8083E-1	6.569E-1	8.0063E-8	3.143E-2
4.7984E-1	5.8841E-1	6.2545E-8	3.1467E-2
5.6678E-1	5.0515E-1	4.4339E-8	3.1503E-2
6.3946E-1	4.0919E-1	2.4028E-8	3.154E-2
6.9605E-1	3.0296E-1	2.873E-10	3.1577E-2
7.3514E-1	1.8912E-1	-2.7959E-8	3.1613E-2
7.5574E-1	7.0549E-2	-6.1422E-8	3.165E-2
7.5734E-1	-4.9784E-2	-1.0038E-7	3.1687E-2
7.3991E-1	-1.6885E-1	-1.4465E-7	3.1723E-2
7.0387E-1	-2.8365E-1	-1.9364E-7	3.176E-2
6.5014E-1	-3.9131E-1	-2.4646E-7	3.1797E-2
5.8008E-1	-4.8911E-1	-3.0197E-7	3.1833E-2
4.9544E-1	-5.7461E-1	-3.5902E-7	3.187E-2
3.9837E-1	-6.4564E-1	-4.1648E-7	3.1907E-2
2.9129E-1	-7.0044E-1	-4.7341E-7	3.1944E-2
1.7691E-1	-7.3761E-1	-5.2911E-7	3.198E-2
5.8095E-2	-7.5624E-1	-5.8313E-7	3.2017E-2
-6.2157E-2	-7.5585E-1	-6.3526E-7	3.2054E-2
-1.8083E-1	-7.3647E-1	-6.8546E-7	3.209E-2
-2.9493E-1	-6.9857E-1	-7.3377E-7	3.2127E-2
-4.016E-1	-6.4312E-1	-7.8023E-7	3.2164E-2
-4.9816E-1	-5.7151E-1	-8.2482E-7	3.2201E-2
-5.8217E-1	-4.8554E-1	-8.6735E-7	3.2237E-2
-6.5153E-1	-3.8739E-1	-9.0752E-7	3.2274E-2
-7.0451E-1	-2.7951E-1	-9.4489E-7	3.2311E-2
-7.3976E-1	-1.6463E-1	-9.7894E-7	3.2348E-2
-7.5641E-1	-4.5637E-2	-1.0091E-6	3.2384E-2
-7.5404E-1	7.4483E-2	-1.0348E-6	3.2421E-2
-7.3271E-1	1.9271E-1	-1.0554E-6	3.2458E-2
-6.9297E-1	3.0606E-1	-1.0705E-6	3.2495E-2
-6.3582E-1	4.117E-1	-1.0795E-6	3.2531E-2
-5.627E-1	5.0696E-1	-1.0819E-6	3.2568E-2
-4.7544E-1	5.8946E-1	-1.0771E-6	3.2605E-2
-3.7626E-1	6.5713E-1	-1.0644E-6	3.2642E-2
-2.6764E-1	7.0826E-1	-1.043E-6	3.2679E-2
-1.5231E-1	7.4157E-1	-1.0121E-6	3.2715E-2
-3.3183E-2	7.5624E-1	-9.7088E-7	3.2752E-2
8.6752E-2	7.5189E-1	-9.1874E-7	3.2789E-2
2.0448E-1	7.2864E-1	-8.5532E-7	3.2826E-2
3.1703E-1	6.8708E-1	-7.8067E-7	3.2863E-2
4.2159E-1	6.2826E-1	-6.9536E-7	3.2899E-2
5.1553E-1	5.5366E-1	-6.0053E-7	3.2936E-2
