jMRUI Data Textfile

Filename: mm4_corrected.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
1.1E-1	0E0	-9.4365E-8	2.9146E-3
1.0938E-1	-1.1626E-2	-1.0097E-7	2.9199E-3
1.0754E-1	-2.3121E-2	-1.0943E-7	2.9252E-3
1.045E-1	-3.4358E-2	-1.1671E-7	2.9305E-3
1.0028E-1	-4.5209E-2	-1.1925E-7	2.9358E-3
9.494E-2	-5.5555E-2	-1.1432E-7	2.9411E-3
8.8536E-2	-6.5277E-2	-1.0093E-7	2.9464E-3
8.1141E-2	-7.4269E-2	-8.0214E-8	2.9517E-3
7.2837E-2	-8.2428E-2	-5.4956E-8	2.957E-3
6.3717E-2	-8.9664E-2	-2.8756E-8	2.9623E-3
5.3884E-2	-9.5896E-2	-5.0953E-9	2.9676E-3
4.3446E-2	-1.0105E-1	1.3305E-8	2.9729E-3
3.2523E-2	-1.0508E-1	2.4824E-8	2.9781E-3
2.1235E-2	-1.0793E-1	2.9078E-8	2.9834E-3
9.7092E-3	-1.0957E-1	2.6952E-8	2.9887E-3
-1.9251E-3	-1.0998E-1	2.0534E-8	2.994E-3
-1.3538E-2	-1.0916E-1	1.2816E-8	2.9993E-3
-2.4998E-2	-1.0711E-1	7.0902E-9	3.0046E-3
-3.6179E-2	-1.0387E-1	6.0948E-9	3.0098E-3
-4.6954E-2	-9.9466E-2	1.1133E-8	3.0151E-3
-5.7203E-2	-9.3945E-2	2.1525E-8	3.0204E-3
-6.6811E-2	-8.7373E-2	3.4674E-8	3.0257E-3
-7.567E-2	-7.9821E-2	4.6814E-8	3.031E-3
-8.3682E-2	-7.1376E-2	5.42E-8	3.0363E-3
-9.0756E-2	-6.2131E-2	5.4286E-8	3.0415E-3
-9.6813E-2	-5.2191E-2	4.6486E-8	3.0468E-3
-1.0179E-1	-4.1666E-2	3.2307E-8	3.0521E-3
-1.0562E-1	-3.0675E-2	1.4906E-8	3.0574E-3
-1.0827E-1	-1.934E-2	-1.7637E-9	3.0627E-3
-1.097E-1	-7.789E-3	-1.4009E-8	3.068E-3
-1.0991E-1	3.849E-3	-1.9404E-8	3.0733E-3
-1.0889E-1	1.5444E-2	-1.7416E-8	3.0786E-3
