jMRUI Data Textfile

Filename: NAA_AcetylMoiety.txt

PointsInDataset: 32768     
DatasetsInFile: 1         
SamplingInterval: 3.3333E-2 
ZeroOrderPhase: 0E0       
BeginTime: 0E0       
TransmitterFrequency: 2.9722E8  
MagneticField: 0E0       
TypeOfNucleus: 0E0       
NameOfPatient: 
DateOfExperiment: 
Spectrometer: 
AdditionalInfo: 


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
-2.8042E0	-8.398E-1	-1.4124E-5	1.392E-1
-2.9043E0	-3.6021E-1	-1.6628E-5	1.3934E-1
-2.9229E0	1.2921E-1	-1.8053E-5	1.3949E-1
-2.8596E0	6.1475E-1	-1.6013E-5	1.3964E-1
-2.7163E0	1.0828E0	-1.3234E-5	1.3978E-1
-2.497E0	1.5203E0	-1.295E-5	1.3993E-1
-2.2078E0	1.915E0	-1.5245E-5	1.4007E-1
-1.857E0	2.2558E0	-1.7543E-5	1.4022E-1
-1.4544E0	2.5333E0	-1.756E-5	1.4036E-1
-1.0112E0	2.7396E0	-1.6611E-5	1.4051E-1
-5.3993E-1	2.8691E0	-1.4547E-5	1.4066E-1
-5.3801E-2	2.9182E0	-1.3522E-5	1.408E-1
4.3358E-1	2.8856E0	-1.3336E-5	1.4095E-1
9.0855E-1	2.7721E0	-1.2541E-5	1.4109E-1
1.3578E0	2.581E0	-1.1473E-5	1.4123E-1
1.7688E0	2.3178E0	-1.1932E-5	1.4138E-1
2.1301E0	1.9897E0	-1.3405E-5	1.4152E-1
2.4315E0	1.6062E0	-1.4469E-5	1.4167E-1
2.6646E0	1.1778E0	-1.4552E-5	1.4181E-1
2.8229E0	7.1668E-1	-1.4429E-5	1.4196E-1
2.9022E0	2.3573E-1	-1.4018E-5	1.421E-1
2.9001E0	-2.5157E-1	-1.3908E-5	1.4225E-1
2.8167E0	-7.3156E-1	-1.3234E-5	1.424E-1
2.6545E0	-1.1908E0	-1.2427E-5	1.4254E-1
2.4181E0	-1.6164E0	-1.1563E-5	1.4269E-1
2.114E0	-1.9966E0	-1.0564E-5	1.4283E-1
1.7509E0	-2.3206E0	-1.0638E-5	1.4297E-1
1.339E0	-2.5795E0	-1.1303E-5	1.4312E-1
8.8977E-1	-2.7659E0	-1.353E-5	1.4326E-1
4.1586E-1	-2.8748E0	-1.4765E-5	1.4341E-1
-6.9446E-2	-2.9031E0	-1.425E-5	1.4355E-1
-5.5255E-1	-2.8501E0	-1.3832E-5	1.437E-1
-1.0199E0	-2.7173E0	-1.3118E-5	1.4385E-1
-1.4585E0	-2.5085E0	-1.2158E-5	1.4399E-1
-1.8559E0	-2.2295E0	-1.1299E-5	1.4413E-1
-2.2012E0	-1.8882E0	-1.2601E-5	1.4428E-1
-2.4847E0	-1.4942E0	-1.3289E-5	1.4443E-1
-2.6983E0	-1.0586E0	-1.223E-5	1.4457E-1
-2.8364E0	-5.935E-1	-1.1441E-5	1.4472E-1
-2.8948E0	-1.1207E-1	-1.1252E-5	1.4486E-1
-2.8722E0	3.7223E-1	-1.0913E-5	1.45E-1
-2.7692E0	8.4586E-1	-1.171E-5	1.4515E-1
-2.5886E0	1.2955E0	-1.2338E-5	1.4529E-1
-2.3356E0	1.7087E0	-1.2163E-5	1.4544E-1
-2.0174E0	2.0738E0	-1.3597E-5	1.4558E-1
-1.6428E0	2.3806E0	-1.5348E-5	1.4573E-1
-1.2224E0	2.6205E0	-1.558E-5	1.4587E-1
-7.6797E-1	2.787E0	-1.5306E-5	1.4602E-1
-2.9229E-1	2.8752E0	-1.4934E-5	1.4617E-1
1.9133E-1	2.883E0	-1.3608E-5	1.4631E-1
6.6932E-1	2.8099E0	-1.3043E-5	1.4646E-1
1.1283E0	2.6582E0	-1.235E-5	1.466E-1
1.5555E0	2.4321E0	-1.2802E-5	1.4674E-1
1.9388E0	2.138E0	-1.4747E-5	1.4689E-1
2.2677E0	1.7842E0	-1.5224E-5	1.4704E-1
2.5328E0	1.3806E0	-1.5143E-5	1.4718E-1
2.7269E0	9.3859E-1	-1.5328E-5	1.4733E-1
2.8445E0	4.7049E-1	-1.6449E-5	1.4747E-1
2.8824E0	-1.0535E-2	-1.6653E-5	1.4762E-1
2.8395E0	-4.9101E-1	-1.6061E-5	1.4777E-1
2.7171E0	-9.5748E-1	-1.4871E-5	1.4791E-1
2.5186E0	-1.3969E0	-1.3938E-5	1.4806E-1
2.2498E0	-1.7969E0	-1.244E-5	1.482E-1
1.918E0	-2.1464E0	-1.1805E-5	1.4835E-1
1.5327E0	-2.4356E0	-1.0929E-5	1.4849E-1
1.1047E0	-2.6564E0	-1.2532E-5	1.4863E-1
6.46E-1	-2.8027E0	-1.4661E-5	1.4878E-1
1.6943E-1	-2.8705E0	-1.4886E-5	1.4893E-1
-3.1163E-1	-2.8578E0	-1.3519E-5	1.4907E-1
-7.8371E-1	-2.765E0	-1.1689E-5	1.4922E-1
-1.2336E0	-2.5949E0	-1.0959E-5	1.4936E-1
-1.6487E0	-2.3521E0	-1.2599E-5	1.495E-1
-2.0174E0	-2.0437E0	-1.3294E-5	1.4965E-1
-2.3293E0	-1.6781E0	-1.3268E-5	1.498E-1
-2.5759E0	-1.2657E0	-1.4774E-5	1.4994E-1
-2.7502E0	-8.1814E-1	-1.5216E-5	1.5009E-1
-2.8474E0	-3.4787E-1	-1.4834E-5	1.5023E-1
-2.8648E0	1.3189E-1	-1.2938E-5	1.5038E-1
-2.8019E0	6.077E-1	-1.2145E-5	1.5052E-1
-2.6606E0	1.0662E0	-1.326E-5	1.5067E-1
-2.4448E0	1.4947E0	-1.3596E-5	1.5081E-1
-2.1607E0	1.881E0	-1.2951E-5	1.5096E-1
-1.8162E0	2.2145E0	-1.2371E-5	1.5111E-1
-1.421E0	2.4857E0	-1.1726E-5	1.5125E-1
-9.8626E-1	2.6872E0	-1.0347E-5	1.514E-1
-5.241E-1	2.8133E0	-9.62E-6	1.5154E-1
-4.7509E-2	2.8605E0	-1.0419E-5	1.5168E-1
4.3016E-1	2.8276E0	-1.246E-5	1.5183E-1
8.9552E-1	2.7156E0	-1.4822E-5	1.5197E-1
1.3356E0	2.5275E0	-1.4873E-5	1.5212E-1
1.7379E0	2.2687E0	-1.4121E-5	1.5227E-1
2.0914E0	1.9465E0	-1.4034E-5	1.5241E-1
2.3862E0	1.57E0	-1.231E-5	1.5256E-1
2.6139E0	1.1497E0	-1.101E-5	1.527E-1
2.7683E0	6.9743E-1	-1.0579E-5	1.5285E-1
2.8451E0	2.2586E-1	-1.2381E-5	1.5299E-1
2.8422E0	-2.5178E-1	-1.4083E-5	1.5314E-1
2.7596E0	-7.2212E-1	-1.4895E-5	1.5328E-1
2.5998E0	-1.172E0	-1.6973E-5	1.5343E-1
2.3673E0	-1.5888E0	-1.7572E-5	1.5358E-1
2.0686E0	-1.9608E0	-1.4873E-5	1.5372E-1
1.7121E0	-2.2778E0	-1.2751E-5	1.5387E-1
1.3079E0	-2.5308E0	-1.1096E-5	1.5401E-1
8.672E-1	-2.7127E0	-1.0426E-5	1.5416E-1
4.0248E-1	-2.8186E0	-1.0452E-5	1.543E-1
-7.3271E-2	-2.8455E0	-1.0628E-5	1.5445E-1
-5.4671E-1	-2.7927E0	-1.1403E-5	1.5459E-1
-1.0046E0	-2.6617E0	-1.0766E-5	1.5474E-1
-1.4341E0	-2.4562E0	-1.0751E-5	1.5488E-1
-1.8232E0	-2.182E0	-1.1013E-5	1.5503E-1
-2.161E0	-1.8468E0	-1.1531E-5	1.5517E-1
-2.4381E0	-1.4601E0	-1.0944E-5	1.5532E-1
-2.6468E0	-1.0328E0	-9.7728E-6	1.5546E-1
-2.7812E0	-5.7667E-1	-1.0014E-5	1.5561E-1
-2.8377E0	-1.0467E-1	-1.2424E-5	1.5575E-1
-2.8147E0	3.7001E-1	-1.2859E-5	1.559E-1
-2.7128E0	8.3407E-1	-1.2203E-5	1.5604E-1
-2.535E0	1.2745E0	-1.2733E-5	1.5619E-1
-2.2863E0	1.679E0	-1.4376E-5	1.5633E-1
-1.9737E0	2.0363E0	-1.5034E-5	1.5648E-1
-1.606E0	2.3364E0	-1.3458E-5	1.5663E-1
-1.1935E0	2.5708E0	-1.0326E-5	1.5677E-1
-7.4777E-1	2.7331E0	-1.0406E-5	1.5692E-1
-2.8135E-1	2.8188E0	-1.1662E-5	1.5706E-1
1.927E-1	2.8255E0	-1.1559E-5	1.5721E-1
6.611E-1	2.7531E0	-1.1059E-5	1.5735E-1
1.1107E0	2.6035E0	-9.949E-6	1.575E-1
1.529E0	2.3812E0	-1.0331E-5	1.5764E-1
1.9043E0	2.0922E0	-1.1947E-5	1.5779E-1
2.226E0	1.7448E0	-1.1245E-5	1.5793E-1
2.4851E0	1.3488E0	-1.0559E-5	1.5808E-1
2.6746E0	9.1512E-1	-1.1347E-5	1.5822E-1
2.789E0	4.5608E-1	-1.1729E-5	1.5837E-1
2.8253E0	-1.5489E-2	-1.2107E-5	1.5851E-1
